FRUIT_CODE,LOCATION_ID
221,31320
221,32150
221,33060
221,33080
221,33090
221,34030
221,34090
221,34110
221,34130
221,34140
221,34150
221,35030
221,35060
221,35120
221,35130
221,37370
221,37410
221,38030
221,38070
221,38090
221,38100
221,38150
221,38160
222,31290
222,32010
222,36040
222,37370
222,37380
222,37390
222,37400
222,38110
222,38200
225,31010
225,31080
225,31100
225,31260
225,32010
225,32030
225,32090
225,32100
225,32130
225,32140
225,33060
225,33100
225,34080
225,34110
225,34130
225,35030
225,35060
225,35140
225,36020
225,36080
225,36100
225,36150
225,36200
225,38010
225,38120
225,38150
225,38170
225,38190
225,38200
226,31140
226,31270
226,31280
226,31320
226,32010
226,32040
226,34030
226,34060
226,34070
226,34080
226,34110
226,35040
226,35080
226,35100
226,35120
226,35140
226,36030
226,36060
226,36130
226,36200
226,37020
226,37040
226,37360
226,37370
226,37420
226,38040
226,38050
226,38060
226,38090
226,38100
226,38150
226,38160
226,38170
226,38190
226,38200
257,32110
257,32150
257,33060
257,34130
257,34170
257,35040
257,35120
257,36010
257,36040
257,38100
411,31250
411,31280
411,31300
411,31310
411,32020
411,32040
411,32050
411,32080
411,32090
411,32100
411,32110
411,32120
411,32130
411,32150
411,33010
411,33020
411,33030
411,33070
411,33080
411,33090
411,33100
411,34050
411,34060
411,34090
411,34140
411,34150
411,34160
411,35040
411,35090
411,36100
411,36170
411,36190
411,37020
411,37040
411,37050
411,37070
411,37080
411,37090
411,37310
411,37320
411,37330
411,37340
411,37350
411,37380
411,37390
411,37400
411,37410
411,37420
411,37011
411,38020
411,38190
412,31000
412,31010
412,31030
412,31040
412,31080
412,31130
412,31140
412,31200
412,31210
412,31230
412,31240
412,31250
412,31260
412,31270
412,31290
412,31300
412,31310
412,32020
412,32080
412,32170
412,32180
412,33010
412,33020
412,33030
412,34010
412,34020
412,34030
412,34040
412,34050
412,34060
412,34070
412,34140
412,34150
412,34160
412,34170
412,35010
412,35050
412,35060
412,35110
412,35130
412,36010
412,36040
412,36080
412,36100
412,36150
412,36190
412,36220
412,37090
412,37011
412,38020
412,38030
412,38070
412,38120
412,38130
412,38160
412,38170
413,31200
413,31220
413,31290
413,32020
413,32080
413,32180
413,33010
413,33020
413,33040
413,33080
413,34010
413,34020
413,34090
413,35020
413,35080
413,35100
413,35110
413,36060
413,36110
413,37010
413,37050
413,37060
413,37070
413,37080
413,37310
413,37320
413,37350
413,37360
413,37400
413,37011
413,38030
413,38060
413,38110
414,31010
414,31100
414,31140
414,31160
414,31200
414,31210
414,31230
414,31240
414,31250
414,31280
414,31300
414,31310
414,32030
414,32040
414,32070
414,32100
414,33040
414,33050
414,34010
414,34020
414,34040
414,34050
414,34170
414,35020
414,35050
414,35080
414,35100
414,35140
414,36070
414,36190
414,36200
414,37010
414,37020
414,37030
414,37060
414,37070
414,37080
414,37310
414,37350
414,38060
414,38070
414,38080
414,38110
415,37100
415,38040
415,38130
415,39010
416,32030
416,32180
416,33040
416,33050
416,33070
416,34070
416,36050
416,36070
416,36080
416,36150
416,37050
418,36210
419,38130
425,37010
425,38050
427,31100
427,31270
427,32170
427,35110
427,36070
427,36110
427,36120
427,38010
427,38040
427,38050
428,36180
,
